Ricardo Lamotte de Grignón
Antonio de Lara
D.H. Lawrence
Turner Layton
Robert Leffler
Lotte Lehmann
W.P. Lipscomb
Shao-Chi Liu
Alice Lloyd
H.P. Lovecraft
Ballard MacDonald
Harry Masters
Neil McGuire
Frank McHugh
Edgar C. Middleton
Aleksandar Milojevic
Prince Monolulu
Bernard L. Montgomery
Manning O'Connor
Mignon O'Doherty
R.L. O'Mealy
Kate Phillips
Emilie Polini
Eugene Pouyet
E. Hayter Preston
Lake Reynolds
Gaston Rieffler
Mikhail Rostovtsev
A.E. Rudolph
Marah Ellis Ryan
Lyda Salmonova
Carroll Sax
Henrik Scharling
Abraham S. Schomer
Margaret Scudamore
Lewis Seiler
Herbert Skinner
Bruce Smith
Josef Steigl
Helmuth Strøm
Madge Stuart
Violet Stuart
Amelia Summerville
Janina Szyllinzanka
Clara Tambour
E.G. Tatum
Tom Tempest
A.E. Thomas
Meier Tzelniker
Jaap Van der Poll
Akaki Vasadze
King Vidor
Millard Vincent
Robert E. Welsh
Ossie Wenban
Winifred Westover
Dorothy Whipple
Ethel Lina White
Zenaide Williams
Nat M. Wills
Carl Winther
Harry Zech
Josef Zeitlinger
Henry Lawson
Mihály Nádor
W.D.C. Knox
Prince Leopold of Duke of Albany
Santiago Wanderers
Karel Cerný
Paul Deschanel
Gordon Head
Mary Baird Bryan
Ludwig Strecker der Jüngere
Erica O'Foyle
Owen Carter
F.M. Pitts
Grant Rymal
Berkeley Barrington
Theo Henries
Bretislav Grossmann
William Jerome
Pushpendra Kapoor
Grigoriy Boltyanskiy
Ellen Kornbeck
Della Rose McIntire
George Nathaniel Curzon
Blaise Wyndham
Charles Courtwright
Auguste Pére
Robert Reinert
Hans Brockmann
Fritz von Herzmanovsky-Orlando
Charles Bertram
Mária Regõs
Franklyn McLeay
Jules Laforgue
Boleslaw Horski
King Carol II
André Masson
Walentyna Miedwiediew
Emil Burian
Max Jonák
Josef Krastl
Harry Hermann-Spitz
George Cehanovsky
Manci Kényes
Artúr Fehér
Lillian Shrewsbury
Hans Ledeboer
Margaret Suckley
Frank Madigan
Bodo Lafferentz
Lajos Ligeti
Max Gartman
Queen Victoria of Baden
Judith Anderson
Charles Bickford
Michael Curtiz
Alan Dinehart
Harry Adnes
Hugo Alfvén
Étienne Arnaud
Earl Askam
Milka Balek-Brodská
Margaret Culkin Banning
George Barnum
Vivian Baron
Julius Batha
Hector Berlioz
Flo Bert
Evangeline Booth
Leslie Bridgewater
Emil Bruun
Robert Burton
Harrison Carter
Isidore Cashier
Colin Chase
Gano Chittenden
Frederik Christensen
Julián Cisneros Tamayo
Jacques Copeau
Luke Cosgrave
Eileen Crowe
Milli Dandolo
Louis Darclay
John W. De Noria
Rhoda Dendron
Mary Dery
Chunibala Devi
Aleksandre Digmelovi
Thomas Durant
John East
John Ellis
Nicolas Evreinoff
Erwin Faber
George Farren
Norman Field
Domenico Gambino
Paul Garbagni
James Gibson
Patricia Palmer
Dorothy Gish
Curt Goetz
E. Story Gofton
Enric Granados
Frank Graves
Harrison Greene
Prudencia Grifell
Lajos Gárdonyi
Bert Haily
Lumsden Hare
Fred H. Hayn
William Addison Hervey
Russell Huestis
Crown Prince Hohenzollern
Izetta Jewel
Soledad Jiménez
Julien Josephson
Frank B. Kellogg
Nikolai Khodotov
Martin Kinney
Jack Kirk
Joseph Kish
Erno Kostal
Wesley La Violette
Hope Landin
Henry Latimer
Denise Legeay
Ralph J. Locke
Henry Wadsworth Longfellow
Albert MacQuarrie
Charles Margolis
Tom Mahoney
Umberto Mancini
Jan Marek
Nino Martoglio
Wilhelm Marx
Alexandre Mathillon
Beatrice Maude
Hans May
Terry McGovern
Effie MacIntosh
C.M.S. McLellan
Joseph Mills
Norma Mitchell
Moriss
Doreen Munroe
Conrad Nagel
Bernard Nedell
Andrés Novo
Paddy O'Flynn
Pat O'Malley
William Parke
Andrei Pashchenko
Tatu Pekkarinen
Marcel Poncin
Paul M. Potter
Paul J. Rainey
Jules Raucourt
Arthur Reinhardt
Jacques Renard
Clinton Rosemond
Byron Russell
Scott
Jane Seymour
George V. Sheldon
Boris Shelontsev
Iván Siklósi
Ted Smith
Jean Stapelveld
Bram Stoker
Nikolai Svobodin
H.L. Swisher
Wilton Taylor
Hermann Thimig
Dion Titheradge
Guido Trento
Tomu Uchida
R. Van Cortlandt
Hugo Vavris
Maximilian Vitus
Andrew Waldron
Charles Wemyss
Stewart Edward White
Kazimierz Wilamowski
Louis J. Witte
D.B. Wyndham-Lewis
Ernst Ziegler
Josef Zimanich
Mikhail Zoschenko
Douglas Gracey
